ID	Functional_category
YDR458C	NUCLEAR ...
YDR460W	NUCLEUS
YDR461W	CYTOPLASM
YDR462W	MITOCHON...
YDR464W	NUCLEUS
YDR469W	NUCLEUS
YDR471W	CYTOPLASM
YDR472W	PUNCTATE...
YDR474C	MITOCHON...
YDR477W	CYTOPLASM
YDR478W	NUCLEUS
YDR479C	PUNCTATE...
YDR482C	NUCLEUS
YDR483W	PUNCTATE...
YDR485C	NUCLEUS
YDR487C	CYTOPLASM
YDR492W	ER
YDR493W	MITOCHON...
YDR495C	PUNCTATE...
YDR496C	NUCLEOLUS
YDR497C	CELL PER...
YDR498C	ER
YDR499W	CYTOPLASM
YDR500C	CYTOPLASM
YDR502C	NUCLEUS
YDR507C	BUD NECK
YDR508C	CELL PER...
YDR510W	CYTOPLASM
YDR511W	MITOCHON...
YDR513W	NUCLEUS
YDR514C	MITOCHON...
YDR515W	CYTOPLASM
YDR516C	CYTOPLASM
YDR517W	PUNCTATE...
YDR519W	ER
YDR520C	NUCLEUS
YDR523C	CYTOPLASM
YDR524C	CYTOPLASM
YDR527W	CYTOPLASM
YDR528W	CYTOPLASM
YDR529C	MITOCHON...
YDR530C	CYTOPLASM
YDR531W	CYTOPLASM
YDR532C	SPINDLE ...
YDR538W	MITOCHON...
YDR539W	CYTOPLASM
YDR540C	CYTOPLASM
YEL001C	ER
YEL003W	CYTOPLASM
YEL006W	MITOCHON...
YEL007W	NUCLEUS
YEL008W	CYTOPLASM
YEL009C	CYTOPLASM
YEL011W	CYTOPLASM
YEL012W	CYTOPLASM
YEL013W	VACUOLAR...
YEL014C	CYTOPLASM
YEL015W	PUNCTATE...
YEL017C_A	CELL PER...
YEL017W	NUCLEAR ...
YEL018W	NUCLEUS
YEL019C	NUCLEUS
YEL020C	CYTOPLASM
YEL022W	PUNCTATE...
YEL024W	MITOCHON...
YEL027W	ER
YEL029C	CYTOPLASM
YEL031W	ER
YEL036C	PUNCTATE...
YEL039C	CYTOPLASM
YEL040W	ER
YEL042W	Not visu...
YEL043W	ER
YEL044W	NUCLEUS
YEL046C	CYTOPLASM
YEL047C	CYTOPLASM
YEL048C	PUNCTATE...
YEL050C	NUCLEUS
YEL052W	MITOCHON...
YEL053C	CYTOPLASM
YEL054C	CYTOPLASM
YEL055C	NUCLEUS
YEL058W	CYTOPLASM
YEL059C_A	Not visu...
YEL060C	CYTOPLASM
YEL061C	CYTOPLASM
YEL062W	CYTOPLASM
YEL066W	CYTOPLASM
YEL071W	CYTOPLASM
YER001W	PUNCTATE...
YER003C	NUCLEOLUS
